City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Bairnsdale,AU,-37.8333,147.6167,53.71,94,86,5.3,overcast clouds
323,Ucluelet,CA,48.9329,-125.5528,50.31,91,99,6.76,light rain
324,Sandnessjoen,NO,66.0217,12.6316,49.98,93,75,8.99,shower rain
325,Dukat,RU,62.55,155.55,-1.44,90,78,3.94,broken clouds
326,Marienburg,PL,54.0359,19.0266,56.95,84,100,12.06,overcast clouds
327,Jieshi,CN,22.8134,115.8257,74.57,82,65,18.01,light rain
328,Kalamnuri,IN,19.6667,77.3333,68.61,64,1,2.53,clear sky
329,Laguna,US,38.421,-121.4238,68.23,81,75,1.01,broken clouds
330,Purpe,RU,64.4803,76.6897,8.38,95,48,9.55,scattered clouds
331,Jiuquan,CN,39.7432,98.5174,43.99,37,39,6.44,scattered clouds
332,Avera,US,33.194,-82.5271,67.51,29,70,3.09,broken clouds
333,Honningsvag,NO,70.9821,25.9704,33.55,69,40,17.27,scattered clouds
334,Suluq,LY,31.6682,20.2521,71.13,76,72,3.67,broken clouds
335,Ponta Delgada,PT,37.7333,-25.6667,68.72,94,75,13.8,broken clouds
336,Dawson Creek,CA,55.7666,-120.2362,44.24,57,1,6.91,clear sky
337,San Quintin,MX,30.4833,-115.95,70.36,49,0,3.24,clear sky
338,Marsa Matruh,EG,31.3525,27.2453,73.92,77,93,15.52,overcast clouds
339,Amapa,BR,1.0,-52.0,97.29,30,100,4.68,overcast clouds
340,Aberdeen,GB,57.1437,-2.0981,59.49,88,100,10.36,overcast clouds
341,Eyl,SO,7.9803,49.8164,80.42,73,55,9.51,broken clouds
342,La Paz,BO,-16.5,-68.15,62.58,31,40,6.91,scattered clouds
343,Tsumeb,NA,-19.2333,17.7167,70.59,71,79,9.42,moderate rain
344,Tikrit,IQ,34.6071,43.6782,73.72,25,11,9.64,few clouds
